ts,signal,product_id,side,price,size,score,zscore,spread,vol,note,status
2025-09-26T20:36:48Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:37:03Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:37:18Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:37:33Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:37:49Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:38:04Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:38:19Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:38:34Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:38:50Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:39:05Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:39:20Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:39:35Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:39:50Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:40:06Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:40:21Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:40:36Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:40:51Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:41:07Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:41:22Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:41:37Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:41:52Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:42:08Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:42:23Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:42:38Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:42:53Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
2025-09-26T20:43:09Z,error,,,,,,,,,'>' not supported between instances of 'NoneType' and 'NoneType',
