coin_id,kraken_pair,side,entry_price,qty,stop,take_profit,mid,spread_median_bps,rv_1d_pct,inefficiency_score,entry_fee_usd,exit_tp_fee_usd,exit_stop_fee_usd,pnl_if_tp_usd,pnl_if_stop_usd,status
dogwifcoin,WIFUSD,buy,0.8215,9.127974198259599,0.8200000000000001,0.8245,0.82165,2.4330900243319826,3.390737014610924,-8.008141293447984,0.0014997261607740521,0.007526014726465039,0.007484938842572872,0.01835818170753973,-0.022676626300735827,SUGGESTED
dogwifcoin,WIFUSD,sell,0.8218000000000001,9.127974198259599,0.8233,0.8188000000000001,0.82165,2.4330900243319826,3.390737014610924,-8.008141293447984,0.001500273839225948,0.00747398527353496,0.007515061157427128,0.01840966348201791,-0.02270729629404198,SUGGESTED
bonk,BONKUSD,buy,2.1303000000000003e-05,351947.4425152511,2.1273e-05,2.1363000000000002e-05,2.1309999999999998e-05,5.632216277104669,2.9532574419792907,-2.716207870427021,0.0014995072735804792,0.007518653214453309,0.007486977944626937,0.012098686062881076,-0.019544908493665445,SUGGESTED
bonk,BONKUSD,sell,2.1317000000000003e-05,351947.4425152511,2.1347e-05,2.1257e-05,2.1309999999999998e-05,5.632216277104669,2.9532574419792907,-2.716207870427021,0.001500492726419522,0.007481346785546693,0.007513022055373067,0.012135007038949843,-0.019571938057249424,SUGGESTED
pepe,PEPEUSD,buy,1.0154000000000001e-05,738588.8029937467,1.0140000000000001e-05,1.0182e-05,1.0154499999999999e-05,0.98478507065882,2.95460805219814,-7.068533228728688,0.0014999261411197012,0.007520311192082329,0.007489290462356593,0.011660249150621927,-0.019329459845388898,SUGGESTED
pepe,PEPEUSD,sell,1.0155e-05,738588.8029937467,1.0169e-05,1.0127000000000001e-05,1.0154499999999999e-05,0.98478507065882,2.95460805219814,-7.068533228728688,0.0015000738588802996,0.0074796888079176746,0.00751070953764341,0.011700723817025985,-0.019351026638436315,SUGGESTED
floki,FLOKIUSD,buy,9.729e-05,77057.4334737491,9.714000000000001e-05,9.76e-05,9.732999999999999e-05,7.18944179119713,3.185963467224441,-2.1321073487217497,0.00149938354053221,0.007520805507037912,0.007485359087639989,0.014867615329292263,-0.0205433576492338,SUGGESTED
floki,FLOKIUSD,sell,9.737e-05,77057.4334737491,9.752e-05,9.706e-05,9.732999999999999e-05,7.18944179119713,3.185963467224441,-2.1321073487217497,0.00150061645946779,0.007479194492962088,0.007514640912360013,0.014907993424432506,-0.02057387239289045,SUGGESTED
sui,SUIUSD,buy,3.4268,2.188375350140056,3.4221000000000004,3.4362000000000004,3.4272,2.0418580908618122,3.0650505211957073,-6.0318929835744335,0.0014998249299719888,0.00751969537815126,0.007488839285714286,0.011551207983193926,-0.01927402836134389,SUGGESTED
sui,SUIUSD,sell,3.4276,2.188375350140056,3.4323,3.4182,3.4272,2.0418580908618122,3.0650505211957073,-6.0318929835744335,0.001500175070028011,0.007480304621848739,0.007511160714285714,0.011590248599439454,-0.01929669992997231,SUGGESTED
sei-network,SEIUSD,buy,0.29652,25.288712804518248,0.29604,0.29748,0.29657500000000003,3.3705214196632505,2.953825659058695,-6.374820675304692,0.0014997218241591503,0.007522886285088089,0.007486470538649583,0.015254556183090694,-0.021124774508977,SUGGESTED
sei-network,SEIUSD,sell,0.29663,25.288712804518248,0.29711000000000004,0.29567000000000004,0.29657500000000003,3.3705214196632505,2.953825659058695,-6.374820675304692,0.0015002781758408495,0.007477113714911911,0.0075135294613504185,0.01529977240158377,-0.021152389783360936,SUGGESTED
aptos,APTUSD,buy,4.2776000000000005,1.7532581380398573,4.2714,4.2899,4.27775,0.7012212937537288,2.9274312027713814,-7.950609984008809,0.001499947402255859,0.007521302086377184,0.007488866810823446,0.012543825609256775,-0.019859014668927557,SUGGESTED
aptos,APTUSD,sell,4.2779,1.7532581380398573,4.2841000000000005,4.2656,4.27775,0.7012212937537288,2.9274312027713814,-7.950609984008809,0.001500052597744141,0.007478697913622816,0.007511133189176554,0.012586324586522861,-0.019881386242768948,SUGGESTED
