ts,signal,product_id,side,price,size,score,zscore,spread,vol,note,status
2025-09-26T20:32:13Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:32:29Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:32:44Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:32:59Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:33:14Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:33:30Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:33:45Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:34:00Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:34:15Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:34:30Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:34:46Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:35:01Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:35:16Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:35:31Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:35:47Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
2025-09-26T20:36:02Z,error,,,,,,,,,'dict' object has no attribute 'out_dir',
